Predicted effector gene(s)	p_value	minusLogP
PIK3R2	1.11E-10	9.954677021
MAST3	1.11E-10	9.954677021
ARRDC2	1.11E-10	9.954677021
YJEFN3	6.90E-11	10.16115091
GATAD2A	6.90E-11	10.16115091
TMEM161A	6.90E-11	10.16115091
DDX49	6.90E-11	10.16115091
CEP89	7.41E-18	17.13018179
CEBPA	7.41E-18	17.13018179
AXL	7.47E-09	8.126679398
APOE	0.00E+00	300
NTN5	7.45E-10	9.127843727
CD33	1.63E-20	19.7878124
LILRB2	2.02E-21	20.69464863
RBCK1	9.05E-14	13.04335142
SMOX	7.69E-09	8.11407366
UBE2V1	7.47E-09	8.126679398
SPATA2	7.47E-09	8.126679398
CASS4	1.93E-19	18.71444269
APP	1.88E-13	12.72584215
